axis,value,term,sum,state
debt_consolidation,1,60,18350675,NM
home_improvement,1,60,1849800,NM
house,0.12275,60,122750,NM
major_purchase,0.550625,60,550625,NM
medical,0.280875,60,280875,NM
moving,0.121475,60,121475,NM
other,1,60,1185175,NM
small_business,0.321675,60,321675,NM
vacation,0.122025,60,122025,NM
wedding,0.04,60,40000,NM
car,1,36,1189675,NV
credit_card,1,36,23039400,NV
debt_consolidation,1,36,64571025,NV
educational,0.024775,36,24775,NV
home_improvement,1,36,6447950,NV
house,0.5249,36,524900,NV
major_purchase,1,36,2328500,NV
medical,1,36,1337400,NV
moving,0.7105,36,710500,NV
other,1,36,5310675,NV
renewable_energy,0.086725,36,86725,NV
small_business,1,36,1143025,NV
vacation,0.670275,36,670275,NV
wedding,0.32155,36,321550,NV
car,0.840725,60,840725,NV
credit_card,1,60,16822200,NV
debt_consolidation,1,60,45050675,NV
educational,0.02,60,20000,NV
home_improvement,1,60,4131250,NV
house,0.542125,60,542125,NV
major_purchase,1,60,1419350,NV
medical,0.8833,60,883300,NV
moving,0.259875,60,259875,NV
other,1,60,3922275,NV
renewable_energy,0.012,60,12000,NV
small_business,1,60,1098400,NV
vacation,0.65545,60,655450,NV
wedding,0.105725,60,105725,NV
